,tcre,zec50,zec100,zec200,tr1000,tr0,tpw
1230,1.8468038287533182,-0.15563586261312,-0.2632577737603399,-0.38601447961303714,-0.312532467962531,-0.5941057495960829,-8
1715,1.142497267350657,-0.09336681082156106,-0.12337146687187484,-0.15698484642856114,-0.17656750475563276,-0.17793143363950115,-8
2658,2.48180647493401,0.4311393523099105,0.6016847396544307,0.6485189274458238,0.803921479549345,0.2958952468139956,19
3898,2.5223313275609947,0.6261848468470661,0.9430595786584055,1.152263667187885,1.210585065305453,0.6778565388098796,26
5915,1.8897047830772675,-0.09275455270796096,-0.11625788263003645,-0.1245885680953196,-0.15383190445096795,-0.19817115169421054,-4
6306,1.891556944572512,-0.02357558430255291,0.005186948915547385,0.08745274671526393,-0.026914193334572234,0.020215034798266626,1
6661,1.9677475629407408,0.15945389651119912,0.25198853343181726,0.26471852153829856,0.30262739051352083,0.0939172094382617,11
7996,2.2273718478936715,-0.1244978353815358,-0.2095075784392093,-0.32714049875003726,-0.2515064394933788,-0.4088915812463567,-7
8383,1.7631883103324015,0.02964614218459416,0.10791940956528268,0.24229156402636054,0.08940874898647522,0.15202201332206222,4
9214,1.3913282469226071,-0.0776946136786334,-0.09453838959039085,-0.112698034572847,-0.14829309901919951,-0.2027709232163957,-5
9458,1.7604751521103628,0.099636455350401,0.16310910481439445,0.2798997620640893,0.2124244780219191,0.1406569111884627,8
9680,1.3347766419873053,-0.0643142788117037,-0.08023121931732402,-0.09481049773389283,-0.12221498526194918,-0.18444412192697388,-6
11811,1.6263396248670317,-0.15423433389177577,-0.23205375232593473,-0.31629154561493245,-0.2996141467822828,-0.45757306089256355,-12
12179,1.7205081801038478,-0.014577276454395438,-0.016029363795075025,-0.054580256948286054,-0.0205036208274183,-0.1440714786688519,-1
12349,2.1450425965848687,0.11516765109491,0.17602136262335089,0.17991810005462394,0.2223784934179891,-0.02420463144577087,7
13729,2.0454692204055895,0.026545045967359737,0.06124819268627313,0.13702528991625584,0.09161711764684011,0.04567652746043452,3
14515,1.220308487100385,-0.085737486317913,-0.11435757794392631,-0.14924042431931062,-0.15881577977226735,-0.20652168138662347,-7
14824,1.8062780028097367,0.2575231428544873,0.43091525706447253,0.5809043997499299,0.5239178270203473,0.4483611208374808,18
15186,1.342836681538286,-0.06067823635802028,-0.0643646797507702,-0.08671358258970763,-0.10910704127059478,-0.1405447137900243,-5
16767,1.4102850619724203,-0.16034818225036696,-0.28029589651580067,-0.3977693077710418,-0.3307400696750571,-0.4503536448475597,-15
17371,1.0574151038196928,-0.043156875724206234,-0.06374820128624992,-0.10799840829168594,-0.07852097967096183,-0.15522651965762405,-5
17813,1.5804199935253274,-0.01466590958727676,-0.0028588180279971454,0.0075453141363550635,-0.02889742653805616,-0.08251306686792823,0
19515,1.5449433223305666,-0.06038462361731156,-0.06436021433630623,-0.050238072118582666,-0.09536747030314974,-0.1476150475850157,-4
23544,1.7336128478081374,-0.018036486183696798,-0.05227406198779261,-0.13630347457443426,-0.07800279180762759,-0.2897005524397155,-1
23590,1.6641269309711797,-0.007977899812762423,-0.041129142223410575,-0.08700634914410976,-0.03536455786102621,-0.19549827853761137,0
25361,2.116419982324263,-0.04418227336782765,-0.1302987182743356,-0.22047353127781522,-0.1210922792795559,-0.3565907411453426,-2
27136,1.2433154885046096,0.02191245232866823,0.02487964850671709,0.0021941555285114323,0.027621586732906156,-0.12658122883327702,3
28108,1.8123425989934774,0.027816036436457248,-0.02200784819656665,-0.04423826318123214,0.04628027016415914,-0.16630598474597486,2
28578,1.3870815114423563,0.12222168889089402,0.21284804841550886,0.3040679327345033,0.2480140467979517,0.15307598138711243,12
30306,1.2977412072041945,0.08031359793050807,0.06689215070689492,0.03613336445820203,0.12897277255791462,-0.056157696667514356,7
37027,1.2612956961255282,-0.015169407798935941,0.0049260551388707885,0.045905469920517916,-0.02996154996285383,-0.019102405121775592,0
41372,1.7224136895072082,0.16240995819009685,0.24118713119853274,0.279582586150001,0.3023454957079341,0.09617040177043448,11
43444,1.1248750544332529,-0.006545779498975168,-0.012849916327293487,-0.04343292405884025,-0.015559670734804243,-0.10639747274801564,0
44501,1.3585344721134611,-0.017715731405307356,-0.03183790864835534,-0.06656031657010053,-0.04215449726268394,-0.08143302990829196,-2
44778,1.6885412599323888,-0.14635803185648144,-0.23684908513719094,-0.3342046765844091,-0.2724573287616834,-0.4074984697110857,-10
